点序号：0  y坐标值:28.3792   x坐标：-2.22158   z坐标：-1.96782
点序号：1  y坐标值:28.7799   x坐标：-2.23671   z坐标：-2.10353
点序号：2  y坐标值:29.1469   x坐标：-2.27315   z坐标：-2.14549
点序号：3  y坐标值:28.3155   x坐标：-1.91446   z坐标：-2.08493
点序号：4  y坐标值:28.7255   x坐标：-1.99326   z坐标：-2.17404
点序号：5  y坐标值:29.1377   x坐标：-2.05326   z坐标：-2.20668
点序号：6  y坐标值:28.3573   x坐标：-1.64827   z坐标：-2.16467
点序号：7  y坐标值:28.75   x坐标：-1.75083   z坐标：-2.23239
点序号：8  y坐标值:29.1646   x坐标：-1.82564   z坐标：-2.25844
点序号：9  y坐标值:27.7544   x坐标：-0.52015   z坐标：-1.99903
点序号：10  y坐标值:28.0351   x坐标：-0.515082   z坐标：-2.06249
点序号：11  y坐标值:28.3947   x坐标：-0.512579   z坐标：-2.14231
点序号：12  y坐标值:27.7563   x坐标：-0.235745   z坐标：-1.99833
点序号：13  y坐标值:28.0363   x坐标：-0.24292   z坐标：-2.05411
点序号：14  y坐标值:28.4021   x坐标：-0.251242   z坐标：-2.12687
点序号：15  y坐标值:27.7581   x坐标：0.02   z坐标：-1.99382
点序号：16  y坐标值:28.0379   x坐标：0.02   z坐标：-2.04747
点序号：17  y坐标值:28.4071   x坐标：0.02   z坐标：-2.11831
点序号：18  y坐标值:28.8606   x坐标：0.02   z坐标：-2.20307
点序号：19  y坐标值:28.8465   x坐标：-0.260147   z坐标：-2.21295
点序号：20  y坐标值:28.8222   x坐标：-0.521451   z坐标：-2.23227
点序号：21  y坐标值:29.3161   x坐标：0.02   z坐标：-2.26376
点序号：22  y坐标值:29.2972   x坐标：-0.272127   z坐标：-2.27633
点序号：23  y坐标值:29.2625   x坐标：-0.542262   z坐标：-2.30038
点序号：24  y坐标值:29.2394   x坐标：-0.7754   z坐标：-2.31873
点序号：25  y坐标值:29.2326   x坐标：-0.9845   z坐标：-2.32757
点序号：26  y坐标值:29.6625   x坐标：-0.573074   z坐标：-2.31745
点序号：27  y坐标值:29.638   x坐标：-0.813736   z坐标：-2.33886
点序号：28  y坐标值:29.6196   x坐标：-1.02906   z坐标：-2.34428
点序号：29  y坐标值:30.0198   x坐标：-0.610178   z坐标：-2.29147
点序号：30  y坐标值:30   x坐标：-0.859147   z坐标：-2.31239
点序号：31  y坐标值:29.9756   x坐标：-1.07968   z坐标：-2.31442
点序号：32  y坐标值:29.2373   x坐标：-1.18723   z坐标：-2.32649
点序号：33  y坐标值:29.2332   x坐标：-1.39211   z坐标：-2.31551
点序号：34  y坐标值:29.6094   x坐标：-1.2411   z坐标：-2.33519
点序号：35  y坐标值:29.5965   x坐标：-1.45494   z坐标：-2.3157
点序号：36  y坐标值:29.9555   x坐标：-1.29832   z坐标：-2.30429
点序号：37  y坐标值:29.934   x坐标：-1.51592   z坐标：-2.28554
点序号：38  y坐标值:29.204   x坐标：-1.60444   z坐标：-2.29402
点序号：39  y坐标值:29.57   x坐标：-1.67096   z坐标：-2.28931
点序号：40  y坐标值:29.5312   x坐标：-1.8878   z坐标：-2.25453
点序号：41  y坐标值:29.9029   x坐标：-1.72769   z坐标：-2.26048
点序号：42  y坐标值:29.8568   x坐标：-1.93189   z坐标：-2.22987
点序号：43  y坐标值:28.4268   x坐标：-0.971777   z坐标：-2.17343
点序号：44  y坐标值:28.4938   x坐标：-1.15584   z坐标：-2.20787
点序号：45  y坐标值:28.5787   x坐标：-1.29132   z坐标：-2.23921
点序号：46  y坐标值:28.82   x坐标：-0.953909   z坐标：-2.26314
点序号：47  y坐标值:28.8464   x坐标：-1.14414   z坐标：-2.27683
点序号：48  y坐标值:28.8594   x坐标：-1.33021   z坐标：-2.28265
点序号：49  y坐标值:28.4614   x坐标：-1.43018   z坐标：-2.21317
点序号：50  y坐标值:28.8094   x坐标：-1.528   z坐标：-2.26789
点序号：51  y坐标值:28.3973   x坐标：-0.75484   z坐标：-2.15443
点序号：52  y坐标值:28.8109   x坐标：-0.750286   z坐标：-2.24881
点序号：53  y坐标值:27.71   x坐标：-2.02342   z坐标：-1.61439
点序号：54  y坐标值:27.9762   x坐标：-2.09883   z坐标：-1.78274
点序号：55  y坐标值:27.7217   x坐标：-1.68051   z坐标：-1.79336
点序号：56  y坐标值:27.9759   x坐标：-1.79375   z坐标：-1.93819
点序号：57  y坐标值:27.8029   x坐标：-1.27214   z坐标：-1.94692
点序号：58  y坐标值:28.0518   x坐标：-1.49688   z坐标：-2.05446
点序号：59  y坐标值:28.0933   x坐标：-1.07358   z坐标：-2.0762
点序号：60  y坐标值:28.2327   x坐标：-1.27998   z坐标：-2.13965
点序号：61  y坐标值:27.7614   x坐标：-0.859696   z坐标：-1.98104
点序号：62  y坐标值:28.0441   x坐标：-0.799414   z坐标：-2.0629
点序号：63  y坐标值:29.8786   x坐标：-4.60471   z坐标：-1.63725
点序号：64  y坐标值:29.8049   x坐标：-4.55772   z坐标：-1.73553
点序号：65  y坐标值:29.6997   x坐标：-4.47364   z坐标：-1.85674
点序号：66  y坐标值:29.8681   x坐标：-4.76295   z坐标：-1.52676
点序号：67  y坐标值:29.7654   x坐标：-4.78259   z坐标：-1.62657
点序号：68  y坐标值:29.6539   x坐标：-4.72332   z坐标：-1.76726
点序号：69  y坐标值:29.8475   x坐标：-4.9366   z坐标：-1.33886
点序号：70  y坐标值:29.7352   x坐标：-4.99818   z坐标：-1.438
点序号：71  y坐标值:29.5864   x坐标：-5.01413   z坐标：-1.59954
点序号：72  y坐标值:29.4072   x坐标：-4.21463   z坐标：-2.01164
点序号：73  y坐标值:29.3235   x坐标：-4.39246   z坐标：-2.03069
点序号：74  y坐标值:29.208   x坐标：-4.59938   z坐标：-2.04693
点序号：75  y坐标值:29.5656   x坐标：-4.35171   z坐标：-1.95768
点序号：76  y坐标值:29.5047   x坐标：-4.56807   z坐标：-1.9294
点序号：77  y坐标值:29.4116   x坐标：-4.8045   z坐标：-1.89258
点序号：78  y坐标值:28.7321   x坐标：-4.06363   z坐标：-0.335799
点序号：79  y坐标值:28.8578   x坐标：-4.23372   z坐标：-0.280227
点序号：80  y坐标值:29.0214   x坐标：-4.42419   z坐标：-0.270417
点序号：81  y坐标值:28.632   x坐标：-4.18655   z坐标：-0.340183
点序号：82  y坐标值:28.7724   x坐标：-4.35255   z坐标：-0.282265
点序号：83  y坐标值:28.9464   x坐标：-4.53954   z坐标：-0.278934
点序号：84  y坐标值:28.5114   x坐标：-4.34699   z坐标：-0.340159
点序号：85  y坐标值:28.6743   x坐标：-4.50354   z坐标：-0.276136
点序号：86  y坐标值:28.8639   x坐标：-4.67897   z坐标：-0.275512
点序号：87  y坐标值:29.4479   x坐标：-4.77558   z坐标：-0.376861
点序号：88  y坐标值:29.6166   x坐标：-4.94046   z坐标：-0.546257
点序号：89  y坐标值:29.7341   x坐标：-5.04622   z坐标：-0.788935
点序号：90  y坐标值:29.3587   x坐标：-4.89384   z坐标：-0.410803
点序号：91  y坐标值:29.515   x坐标：-5.05637   z坐标：-0.588042
点序号：92  y坐标值:29.6246   x坐标：-5.15373   z坐标：-0.841169
点序号：93  y坐标值:29.2653   x坐标：-5.01488   z坐标：-0.440516
点序号：94  y坐标值:29.4163   x坐标：-5.16377   z坐标：-0.629506
点序号：95  y坐标值:29.5227   x坐标：-5.24765   z坐标：-0.8941
点序号：96  y坐标值:29.807   x坐标：-5.04243   z坐标：-1.07404
点序号：97  y坐标值:29.6968   x坐标：-5.13362   z坐标：-1.14678
点序号：98  y坐标值:29.5853   x坐标：-5.21086   z坐标：-1.22657
点序号：99  y坐标值:29.0713   x坐标：-4.85046   z坐标：-0.326805
点序号：100  y坐标值:29.1555   x坐标：-4.7199   z坐标：-0.315089
点序号：101  y坐标值:29.2333   x坐标：-4.60347   z坐标：-0.293758
点序号：102  y坐标值:31.18   x坐标：-0.722036   z坐标：-2.08308
点序号：103  y坐标值:31.1481   x坐标：-1.01996   z坐标：-2.05124
点序号：104  y坐标值:31.1296   x坐标：-1.25199   z坐标：-1.99885
点序号：105  y坐标值:31.4196   x坐标：-0.728977   z坐标：-1.97453
点序号：106  y坐标值:31.4054   x坐标：-1.05428   z坐标：-1.90493
点序号：107  y坐标值:31.3917   x坐标：-1.32536   z坐标：-1.80777
点序号：108  y坐标值:31.5973   x坐标：-0.730065   z坐标：-1.8604
点序号：109  y坐标值:31.5987   x坐标：-1.08726   z坐标：-1.72942
点序号：110  y坐标值:31.578   x坐标：-1.46043   z坐标：-1.47903
点序号：111  y坐标值:30.8327   x坐标：-0.826035   z坐标：0.665593
点序号：112  y坐标值:30.8968   x坐标：-1.06838   z坐标：0.573271
点序号：113  y坐标值:30.9687   x坐标：-1.33138   z坐标：0.441224
点序号：114  y坐标值:30.7664   x坐标：-0.870543   z坐标：0.661861
点序号：115  y坐标值:30.833   x坐标：-1.13132   z坐标：0.561187
点序号：116  y坐标值:30.9091   x坐标：-1.40626   z坐标：0.423663
点序号：117  y坐标值:30.6756   x坐标：-0.923853   z坐标：0.664421
点序号：118  y坐标值:30.7406   x坐标：-1.21465   z坐标：0.552935
点序号：119  y坐标值:30.8181   x坐标：-1.51025   z坐标：0.409144
点序号：120  y坐标值:31.0301   x坐标：-2.07146   z坐标：0.0248039
点序号：121  y坐标值:30.9146   x坐标：-1.79714   z坐标：0.236183
